		mean	std
2019	0	420.243	7.495
2019	1	419.761	7.127
2019	2	420.155	8.477
2019	3	420.051	8.525
2019	4	420.512	8.731
2019	5	421.153	8.849
2019	6	421.176	8.884
2019	7	420.536	8.314
2019	8	419.214	7.964
2019	9	417.011	7.225
2019	10	414.203	7.639
2019	11	411.125	6.912
2019	12	409.229	6.097
2019	13	408.461	7.504
2019	14	408.209	6.464
2019	15	409.426	8.69
2019	16	411.325	7.957
2019	17	414.246	8.146
2019	18	416.588	6.735
2019	19	418.874	7.338
2019	20	420.991	8.541
2019	21	421.663	8.918
2019	22	421.72	9.213
2019	23	421.249	8.329
2020	0	421.252	7.94
2020	1	421.082	7.406
2020	2	421.101	7.328
2020	3	421.331	7.369
2020	4	421.659	7.51
2020	5	422.318	7.793
2020	6	422.159	7.622
2020	7	421.112	7.611
2020	8	419.546	7.255
2020	9	417.594	6.768
2020	10	415.201	6.691
2020	11	412.673	6.193
2020	12	411.11	5.66
2020	13	410.304	5.295
2020	14	410.541	5.238
2020	15	411.265	5.447
2020	16	412.578	5.313
2020	17	415.061	5.411
2020	18	417.657	6.011
2020	19	419.611	7.144
2020	20	420.968	7.705
2020	21	421.574	7.55
2020	22	421.492	7.763
2020	23	421.17	7.841
2021	0	424.655	7.145
2021	1	424.444	7.293
2021	2	424.354	7.495
2021	3	423.68	6.925
2021	4	424.191	8.249
2021	5	423.985	7.413
2021	6	424.252	7.306
2021	7	423.863	7.521
2021	8	422.957	6.72
2021	9	421.888	7.033
2021	10	419.836	6.657
2021	11	417.462	5.958
2021	12	416.107	5.896
2021	13	415.484	5.802
2021	14	415.316	5.329
2021	15	415.847	5.339
2021	16	417.349	5.715
2021	17	419.89	5.598
2021	18	422.449	5.92
2021	19	424.366	7.009
2021	20	425.553	7.504
2021	21	426.239	8.206
2021	22	426.513	9.148
2021	23	425.669	8.245
